,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
0,AT5G33355,AT4G40010,AT1G65310,AT3G50890,AT4G40010,AT5G33355,,
1,AT3G50890,AT3G50890,AT4G10150,AT1G30750,AT1G14390,AT1G14642,,
2,AT1G14642,AT1G14390,AT1G29420,AT1G76490,AT1G30750,AT4G11660,,
3,AT4G11660,AT1G30750,AT3G50890,AT1G30860,AT2G39180,AT1G76490,,
4,AT1G76490,AT2G39180,AT3G13980,AT5G51060,AT4G11780,AT1G53560,,
5,AT4G23493,AT4G11780,AT5G59845,AT1G64780,AT3G16370,AT5G04370,,
6,AT4G24275,AT3G16370,AT5G07010,AT4G37010,AT3G61750,AT2G43010,,
7,AT1G53560,AT4G24275,AT5G15580,AT2G43010,AT5G51060,AT2G23690,,
8,AT5G04370,AT5G43950,AT3G03850,AT1G14390,AT1G64780,AT3G45970,,
9,AT2G43010,AT5G46730,AT4G24275,AT3G45970,AT4G37010,AT2G35210,,
10,AT3G45970,AT1G64780,AT2G14900,AT1G23030,AT3G59350,AT5G25130,,
11,AT1G23030,AT4G37010,AT1G44970,AT1G27620,AT3G18200,AT1G19610,,
12,AT2G35210,AT4G15165,AT5G12250,AT3G60330,AT3G03500,AT1G61100,,
13,AT5G25130,AT3G59350,AT1G65490,AT4G21920,AT4G14690,AT1G72840,,
14,AT1G19610,AT3G18200,AT1G73830,AT5G25130,AT3G55580,AT4G35470,,
15,AT1G61100,AT3G03500,AT1G14480,AT2G10940,AT3G60330,AT4G25950,,
16,AT1G72840,AT4G14690,AT3G23050,AT3G01260,AT4G21920,AT1G72430,,
17,AT3G48790,AT1G23030,AT1G52190,AT1G54010,AT2G11891,AT5G56850,,
18,AT4G35470,AT5G61270,AT3G03820,AT2G35860,AT4G30110,AT4G38690,,
19,AT4G25950,AT3G55580,AT5G11540,AT4G38690,AT1G54010,AT5G03170,,
20,AT1G72430,AT3G60330,AT2G27930,AT5G03170,AT5G09800,AT5G24580,,
21,AT5G56850,AT4G21920,AT3G42800,AT1G64390,AT2G35860,AT1G09140,,
22,AT4G38690,AT1G08630,AT1G23030,AT1G30935,AT2G21390,AT5G47830,,
23,AT3G48260,AT3G29370,AT4G25810,AT4G08950,AT3G20810,AT3G16570,,
24,AT5G03170,AT3G48790,AT1G64670,AT3G56250,AT3G28290,AT5G54380,,
25,AT5G23155,AT4G30110,AT1G09460,AT1G69490,AT1G64390,AT1G49210,,
26,AT4G08950,AT1G54010,AT1G15050,AT5G48657,AT4G00820,AT1G36060,,
27,AT3G56250,AT5G09800,AT1G08630,AT4G10940,AT3G42658,AT2G27420,,
28,AT5G61660,AT2G35860,AT3G29370,AT4G24430,AT3G28740,AT1G29600,,
29,AT1G02700,AT2G21390,AT3G48790,AT5G47830,AT1G15415,AT4G36900,,
30,AT1G69690,AT3G20810,AT5G10970,AT5G54380,AT5G48657,AT3G16240,,
31,AT3G16570,AT3G48260,AT5G13170,AT3G12580,AT4G01430,AT3G03341,,
32,AT5G54380,AT3G28290,AT5G55730,AT1G49210,AT4G24430,AT1G72690,,
33,AT5G24030,AT4G36570,AT2G33570,AT1G29600,AT3G55720,AT2G15580,,
34,AT3G12580,AT1G64390,AT4G38825,AT4G17030,AT5G42040,AT4G11960,,
35,AT1G49210,AT4G00820,AT5G62220,AT1G20450,AT4G31940,AT5G54250,,
36,AT1G36060,AT5G47370,AT2G42900,AT3G16240,AT1G20450,AT3G20395,,
37,AT2G27420,AT3G56250,AT2G26690,AT4G01330,AT1G32330,AT5G05180,,
38,AT1G21910,AT3G42658,AT5G18060,AT5G07150,AT1G78476,AT4G21020,,
39,AT4G17030,AT5G17780,AT5G18050,AT5G54250,AT4G14860,AT1G72060,,
40,AT4G24972,AT1G15415,AT3G24715,AT3G14440,AT4G36570,AT4G04810,,
41,AT2G40000,AT5G12340,AT5G52900,AT5G61360,AT5G43620,AT1G34060,,
42,AT2G36630,AT4G01430,AT1G04310,AT3G20395,AT1G78478,AT2G07759,,
43,AT1G72690,AT1G02660,AT1G11735,AT1G23080,AT2G41230,AT2G07754,,
44,AT4G01330,AT1G69690,AT3G06990,AT5G54790,AT3G48080,AT4G19170,,
45,AT4G11960,AT5G24030,AT4G14380,AT3G06770,AT5G07150,AT2G07751,,
46,AT5G66400,AT3G12580,AT1G29430,AT5G02780,AT1G07610,AT3G59060,,
47,AT5G54250,AT5G42040,AT2G47560,AT4G21020,AT2G34260,AT2G29500,,
48,AT5G57550,AT1G21910,AT5G47370,AT4G28040,AT2G39430,AT1G14890,,
49,AT5G49630,AT4G17030,AT3G56250,AT4G04810,ATCG01190,AT1G01448,,
50,AT3G20395,AT1G20450,AT4G38400,AT3G06778,AT5G61360,AT3G21010,,
51,AT1G23080,AT1G32330,AT5G02760,AT1G34060,AT1G80340,AT5G49360,,
52,AT5G27780,AT1G78476,AT4G34530,AT5G48150,AT4G11280,AT5G25490,,
53,AT5G05180,AT4G14860,AT5G10625,AT2G07759,AT2G41540,AT4G27310,,
54,AT5G63600,AT3G07010,AT4G16515,AT2G07754,AT3G06770,AT1G70890,,
55,AT1G22370,AT3G61820,AT2G21320,AT3G01513,AT4G00050,AT1G13040,,
56,AT1G72060,AT1G78478,AT1G69690,AT2G07751,AT4G28040,AT3G45730,,
57,AT4G04810,AT2G41230,AT3G54200,AT1G53035,AT1G03545,AT2G32540,,
58,AT4G36430,AT5G42680,AT3G15540,AT5G50335,AT3G06778,AT3G12120,,
59,AT3G08570,ATCG00360,AT5G24030,AT2G29500,AT2G23010,AT5G53144,,
60,AT1G34060,AT4G37450,AT1G03620,AT5G37020,AT5G48150,AT2G36830,,
61,AT2G07759,AT3G48080,AT5G35525,AT5G12050,AT3G16400,AT3G58620,,
62,AT5G44660,AT5G01790,AT1G16400,AT4G25631,AT2G32030,ATMG00480,,
63,AT2G07754,AT1G07610,AT5G01740,AT3G18200,AT3G01513,AT5G02810,,
64,AT4G15710,AT5G49630,AT3G28180,AT1G70890,AT5G24105,AT4G33740,,
65,AT2G07751,AT3G27290,AT1G21910,AT3G13520,AT2G38540,AT3G22961,,
66,AT4G21320,AT2G39430,AT4G17030,AT1G07500,AT1G53035,AT2G37340,,
67,AT3G59060,ATCG01190,AT4G38860,AT2G05995,AT5G37020,AT5G51440,,
68,AT2G29500,AT5G61360,AT2G38600,AT1G20190,AT3G48920,AT5G24210,,
69,AT5G64170,AT3G49220,AT3G53403,AT2G30210,AT4G25631,AT4G30270,,
