gene_id,tempResponsive,PIF7Dependent
AT1G01010,False,False
AT1G01020,False,False
AT1G01030,False,False
AT1G01040,False,False
AT1G01046,False,False
AT1G01050,False,False
AT1G01060,False,False
AT1G01070,False,False
AT1G01080,False,False
AT1G01090,False,False
AT1G01100,False,False
AT1G01110,False,False
AT1G01120,True,False
AT1G01130,False,False
AT1G01140,False,False
AT1G01160,False,False
AT1G01170,False,False
AT1G01180,False,False
AT1G01190,False,True
AT1G01200,False,True
AT1G01210,False,False
AT1G01220,False,False
AT1G01225,False,False
AT1G01230,False,False
AT1G01240,False,False
AT1G01250,False,False
AT1G01260,False,False
AT1G01290,False,False
AT1G01300,False,False
AT1G01320,False,False
AT1G01340,False,False
AT1G01350,False,False
AT1G01360,False,False
AT1G01370,False,False
AT1G01380,False,False
AT1G01390,False,False
AT1G01420,False,False
AT1G01430,True,False
AT1G01440,False,False
AT1G01448,True,False
AT1G01450,False,False
AT1G01470,False,False
AT1G01490,False,False
AT1G01500,False,False
AT1G01510,False,False
AT1G01520,False,False
AT1G01540,False,False
AT1G01550,False,False
AT1G01570,False,False
AT1G01580,False,True
AT1G01600,False,False
AT1G01610,False,False
AT1G01620,True,False
AT1G01630,False,False
AT1G01640,False,False
AT1G01650,False,False
AT1G01670,False,False
AT1G01690,False,False
AT1G01700,False,False
AT1G01710,False,False
AT1G01720,False,False
AT1G01725,False,False
AT1G01730,False,False
AT1G01740,False,False
AT1G01750,False,False
AT1G01760,False,False
AT1G01770,False,False
AT1G01780,False,False
AT1G01790,False,False
AT1G01800,False,False
AT1G01810,False,False
AT1G01820,False,False
AT1G01830,False,False
AT1G01840,False,False
AT1G01860,False,False
AT1G01880,False,False
AT1G01900,False,False
AT1G01910,False,False
AT1G01920,True,False
AT1G01930,False,False
AT1G01940,False,False
AT1G01950,False,False
AT1G01960,False,False
AT1G01970,False,False
AT1G01990,False,False
AT1G02000,False,False
AT1G02010,False,False
AT1G02020,False,False
AT1G02050,False,False
AT1G02060,False,False
AT1G02065,False,False
AT1G02080,False,False
AT1G02090,False,False
AT1G02100,False,False
AT1G02110,False,False
AT1G02120,False,False
AT1G02130,False,False
AT1G02140,False,False
AT1G02145,False,False
AT1G02150,False,False
AT1G02160,False,False
AT1G02170,False,False
AT1G02180,False,False
AT1G02205,False,False
AT1G02220,False,False
AT1G02260,False,False
AT1G02270,False,False
AT1G02280,False,False
AT1G02290,False,False
AT1G02300,False,False
AT1G02305,False,False
AT1G02330,False,False
AT1G02335,False,False
AT1G02340,True,True
AT1G02350,False,False
AT1G02360,False,False
AT1G02370,False,False
AT1G02380,False,False
AT1G02390,True,False
AT1G02400,False,True
AT1G02410,False,False
AT1G02420,False,False
AT1G02430,False,False
AT1G02470,False,False
AT1G02475,False,False
AT1G02490,False,False
AT1G02500,False,False
AT1G02520,False,False
AT1G02560,False,False
AT1G02610,False,False
AT1G02620,False,False
AT1G02640,False,False
AT1G02650,False,False
AT1G02660,False,True
AT1G02670,False,False
AT1G02680,False,False
AT1G02690,False,False
AT1G02700,True,False
AT1G02720,False,False
AT1G02730,False,False
AT1G02740,False,False
AT1G02750,False,False
AT1G02770,False,False
AT1G02780,False,False
AT1G02800,False,False
AT1G02810,False,False
AT1G02816,False,False
AT1G02820,False,False
AT1G02840,False,False
AT1G02850,False,True
AT1G02860,False,False
AT1G02870,False,False
AT1G02880,False,False
AT1G02890,False,False
AT1G02900,False,False
AT1G02910,False,False
AT1G02920,False,False
AT1G02930,False,False
AT1G02950,False,False
AT1G02960,False,False
AT1G02970,False,False
AT1G02990,False,False
AT1G03000,False,False
AT1G03020,False,False
AT1G03030,False,False
AT1G03040,False,False
AT1G03055,False,False
AT1G03060,False,False
AT1G03070,False,False
AT1G03080,False,False
AT1G03090,False,False
AT1G03100,False,False
AT1G03106,False,False
AT1G03110,False,False
AT1G03120,False,False
AT1G03130,False,False
AT1G03140,False,False
AT1G03150,False,False
AT1G03160,False,False
AT1G03180,False,False
AT1G03190,False,False
AT1G03200,False,True
AT1G03210,False,False
AT1G03220,False,False
AT1G03230,False,False
AT1G03250,False,False
AT1G03260,False,False
AT1G03270,False,False
AT1G03280,False,False
AT1G03290,False,False
AT1G03300,False,False
AT1G03310,False,False
AT1G03330,False,False
AT1G03340,False,False
AT1G03350,False,False
AT1G03360,False,False
AT1G03365,False,False
AT1G03370,False,False
AT1G03380,False,False
AT1G03400,False,False
AT1G03410,True,False
AT1G03420,False,False
AT1G03430,False,False
AT1G03440,False,False
AT1G03457,False,False
AT1G03470,False,False
AT1G03475,False,False
AT1G03495,False,False
AT1G03502,False,False
AT1G03506,False,False
AT1G03510,False,False
AT1G03520,False,False
AT1G03530,False,False
AT1G03540,False,False
AT1G03545,False,True
AT1G03550,False,False
AT1G03560,False,False
AT1G03580,False,False
AT1G03590,False,False
AT1G03600,False,False
AT1G03610,False,False
AT1G03620,True,True
AT1G03630,False,False
AT1G03650,False,False
AT1G03660,False,False
AT1G03680,False,False
AT1G03687,False,False
AT1G03700,False,False
AT1G03730,False,False
AT1G03740,False,False
AT1G03743,False,False
AT1G03750,False,False
AT1G03760,True,False
AT1G03770,False,False
AT1G03780,False,False
AT1G03790,False,False
AT1G03800,False,False
AT1G03820,False,True
AT1G03830,False,False
AT1G03840,False,False
AT1G03850,False,False
AT1G03860,False,False
AT1G03870,True,True
AT1G03900,False,False
AT1G03905,False,False
AT1G03910,False,False
AT1G03920,False,False
