DataAcc	SpecAcc	Age	RunID	ZTime	gtype	light	temp	sampleID	bname	header_	ZTime_int	fname_	date	genome	tophatOpt	trimmoOpt	type		sampleCode	mapped_reads	total_reads	runID
181RS27	Ath	adult	181R	ZT12	1487		27C	S27	181R-Q-875-1487-ZT12-27C-adult_S27		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-875-1487-ZT12-27C-adult_S27_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-d111dcd2-013d-46ec-84ff-17c7123c2370_output-folder/star_out/181R-Q-875-1487-ZT12-27C-adult_S27.fastq.gz/read_counts.tsv							875	7079070	7636322	181R
181RS24	Ath	adult	181R	ZT12	Col		27C	S24	181R-Q-872-Col-ZT12-27C-adult_S24		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-872-Col-ZT12-27C-adult_S24_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8c6d4e3d-f036-4040-ae5f-8fa01f0f1353_output-folder/star_out/181R-Q-872-Col-ZT12-27C-adult_S24.fastq.gz/read_counts.tsv							872	15891025	17057549	181R
181RS26	Ath	adult	181R	ZT12	Col		27C	S26	181R-Q-874-Col-ZT12-27C-adult_S26		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-874-Col-ZT12-27C-adult_S26_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ae75a350-83f5-46e4-bfb0-454459f039a0_output-folder/star_out/181R-Q-874-Col-ZT12-27C-adult_S26.fastq.gz/read_counts.tsv							874	9790567	10480228	181R
183RS2	Ath	unknown	183R	ZT8	Col		12C	S2	183RQ-Col-ZT8-12C_S2		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-12C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b4a8dc1c-4f9f-4ec5-9e59-98a6b0820a62_output-folder/star_out/183RQ-Col-ZT8-12C_S2.fastq.gz/read_counts.tsv								18638075	20969215	183R
183RS23	Ath	unknown	183R	ZT12	Col		12C	S23	183RQ-Col-ZT12-12C_S23		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-27C_S23_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f18769ca-684a-47ac-9131-48d2ba662d61_output-folder/star_out/183RQ-Col-ZT8-27C_S23.fastq.gz/read_counts.tsv								10837996	11744531	183R
181RS4	Ath	unknown	181R	ZT8	Col		22C	S4	181R-Q-852-Col-ZT8-22C_S4		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-852-Col-ZT8-22C_S4_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-fc7b59f6-90ae-47d6-a677-ee9c9accb7aa_output-folder/star_out/181R-Q-852-Col-ZT8-22C_S4.fastq.gz/read_counts.tsv							852	16796489	18101679	181R
181RS14	Ath	unknown	181R	ZT12	Col		22C	S14	181R-Q-862-Col-ZT12-22C_S14		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-862-Col-ZT12-22C_S14_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0869177b-fbbe-4b9c-a588-8a1fb2cca53d_output-folder/star_out/181R-Q-862-Col-ZT12-22C_S14.fastq.gz/read_counts.tsv							862	13743338	14982032	181R
183RS13	Ath	unknown	183R	ZT8	Col		27C	S13	183RQ-Col-ZT8-27C_S13		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-27C_S13_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-d86abcbd-1253-4167-bbe0-f4fd1b5e5469_output-folder/star_out/183RQ-Col-ZT8-27C_S13.fastq.gz/read_counts.tsv								15074608	16538160	183R
184RS10	Ath	unknown	184R	ZT12	Col		27C	S10	184R-Q-910-Col-ZT12-27C_S10		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-910-Col-ZT12-27_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-71e9f55f-376a-4b3d-8863-d9fee1522284_output-folder/star_out/184R-Q-910-Col-ZT12-27_S10.fastq.gz/read_counts.tsv							910	22010195	23827582	184R
181RS9	Ath	unknown	181R	ZT8	Col		27C	S9	181R-Q-857-Col-ZT8-27C_S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-857-Col-ZT8-27C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0a7c0255-1acd-48c2-a15c-2d436aaef8c8_output-folder/star_out/181R-Q-857-Col-ZT8-27C_S9.fastq.gz/read_counts.tsv							857	16640019	18390433	181R
181RS19	Ath	unknown	181R	ZT12	Col		27C	S19	181R-Q-867-Col-ZT12-27C_S19		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-867-Col-ZT12-27C_S19_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-185e7b3f-9fee-4a8a-a234-17529058b25d_output-folder/star_out/181R-Q-867-Col-ZT12-27C_S19.fastq.gz/read_counts.tsv							867	9949862	10867068	181R
185RS3	Ath		185R	ZT0	Col	LD	17C	S1			0	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-920-Col-LD-17C-ZT0_S1/stringtieresults/gene_abund.tab										185R
185RS6	Ath		185R	ZT4	Col	LD	17C	S2			4	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-921-Col-LD-17C-ZT4_S2/stringtieresults/gene_abund.tab										185R
185RS2	Ath		185R	ZT5	Col	LD	17C	S3			5	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-922-Col-LD-17C-ZT5_S3/stringtieresults/gene_abund.tab										185R
185RS8	Ath		185R	ZT8	Col	LD	17C	S4			8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-923-Col-LD-17C-ZT8_S4/stringtieresults/gene_abund.tab										185R
185RS11	Ath		185R	ZT12	Col	LD	17C	S5			12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-924-Col-LD-17C-ZT12_S5/stringtieresults/gene_abund.tab										185R
185RS15	Ath		185R	ZT16	Col	LD	17C	S6			16	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-925-Col-LD-17C-ZT16_S6/stringtieresults/gene_abund.tab										185R
185RS18	Ath		185R	ZT20	Col	LD	17C	S7			20	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-926-Col-LD-17C-ZT20_S7/stringtieresults/gene_abund.tab										185R
185RS21	Ath		185R	ZT0	Col	LD	27C	S8			0	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-927-Col-LD-27C-ZT0_S8/stringtieresults/gene_abund.tab										185R
185RS1	Ath		185R	ZT4	Col	LD	27C	S9			4	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-928-Col-LD-27C-ZT4_S9/stringtieresults/gene_abund.tab										185R
185RS5	Ath		185R	ZT5	Col	LD	27C	S10			5	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-929-Col-LD-27C-ZT5_S10/stringtieresults/gene_abund.tab										185R
185RS9	Ath		185R	ZT8	Col	LD	27C	S11			8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-930-Col-LD-27C-ZT8_S11/stringtieresults/gene_abund.tab										185R
